quantity,V4.0 canonical,V4.1 grouped result,classification,reason
h1 initial,"0.7846 [0.5571,0.9438]","0.7382; descriptive world-t interval [0.3026,1.1738]",CORRECTED,Outer grouping changed from history to original world.
h1 moderate,"0.9328 [0.8892,0.9789]","0.9020; descriptive world-t interval [0.7851,1.0189]",CORRECTED,Point remains high; V4 interval withdrawn.
h1 deep-1,"0.8970 [0.8596,0.9740]","0.8432; descriptive world-t interval [0.5448,1.1416]",CORRECTED,Only three independent worlds.
h1 deep headline,"0.8878 [0.8366,0.9581], CERTIFIED","0.6947; descriptive world-t interval [0.0513,1.3381]",WITHDRAWN,The lower bound no longer clears 0.50; certification is withdrawn.
h2 initial,"0.8010 [0.5318,0.9224]","0.7631; descriptive world-t interval [0.5701,0.9561]",CORRECTED,World-grouped point remains positive.
h2 deep headline,"-0.2394 [-0.7850,0.3182]","-1.1183; descriptive world-t interval [-5.6757,3.4390]",CORRECTED,Not established under either analysis; world variation is much larger.
track survival,36/36,36/36 recorded surviving,UNCHANGED,Artifact count reproduces; event-level fusion audit is unavailable.
recorded reassignment switches,0,0,UNCHANGED,Raw summary flag reproduces.
deep M,mean 0.1902; 94% <= 0.25,mean 0.1902; 34/36 <= 0.25,UNCHANGED,Directly regenerated from committed raw records.
tracker sensitivity h1 deep,0.8878 longitudinal / 0.9123 largest,0.6947 longitudinal / 0.6706 largest,CORRECTED,"Paired mean difference 0.0241; tracker similarity supports global content, not local storage."
transplant h1,"0.61 [-0.69,0.87]","0.6468; descriptive world-t interval [0.5074,0.7861]",CORRECTED,Canonical 5-D response-vector decoder; W=3 donor worlds and one common recipient body.
transplant inert / erase h1,-0.19 / -0.19,0.0000 / 0.0000,CORRECTED,Under world-held-out validation the constant controls equal the no-information baseline.
in-place delta h1,"0.50 [-1.39,0.92]","0.7039; descriptive world-t interval [-1.0663,2.4741]",CORRECTED,Only two original worlds; no inferential claim is retained.
deep memory vs size+mass,0.93 vs 0.64,"0.7692 vs 0.4538; paired difference 0.3154 [-0.2394,0.8701]",CORRECTED,Historical largest-component data; difference not separated.
local storage claim,Droplet-level organizational memory wording,No local-specific estimate available,WITHDRAWN,History was imposed globally and local/environment access structures were not separated.
fusion-free continuity claim,Implicit in 36/36 longitudinal continuity,Not independently reconstructable,WITHDRAWN,"No committed masks, association edges, or fusion/merge event records."
