law_parameter,outcome,pearson_descriptive,laws,warning
interaction_mean,probe_fraction,-0.4636827185684515,300,screening association; no causal or probability claim
interaction_mean,mean_p,0.042142988590013135,300,screening association; no causal or probability claim
interaction_mean,mean_m,0.3121254266420213,300,screening association; no causal or probability claim
interaction_mean,eligible_seed_count,-0.034645599264503134,300,screening association; no causal or probability claim
interaction_abs_mean,probe_fraction,-0.0705272249390129,300,screening association; no causal or probability claim
interaction_abs_mean,mean_p,-0.14060118566635219,300,screening association; no causal or probability claim
interaction_abs_mean,mean_m,-0.06388689445822712,300,screening association; no causal or probability claim
interaction_abs_mean,eligible_seed_count,-0.06064735803611749,300,screening association; no causal or probability claim
interaction_positive_fraction,probe_fraction,-0.3968814673749257,300,screening association; no causal or probability claim
interaction_positive_fraction,mean_p,0.08021452086387998,300,screening association; no causal or probability claim
interaction_positive_fraction,mean_m,0.2995950573299365,300,screening association; no causal or probability claim
interaction_positive_fraction,eligible_seed_count,-0.009349650592356882,300,screening association; no causal or probability claim
interaction_diagonal_mean,probe_fraction,-0.5971184091218629,300,screening association; no causal or probability claim
interaction_diagonal_mean,mean_p,0.14610192966820726,300,screening association; no causal or probability claim
interaction_diagonal_mean,mean_m,0.45745745675033483,300,screening association; no causal or probability claim
interaction_diagonal_mean,eligible_seed_count,-0.03170493235684049,300,screening association; no causal or probability claim
interaction_asymmetry_rms,probe_fraction,0.19747409486404738,300,screening association; no causal or probability claim
interaction_asymmetry_rms,mean_p,-0.6690288295978845,300,screening association; no causal or probability claim
interaction_asymmetry_rms,mean_m,-0.5870963006853289,300,screening association; no causal or probability claim
interaction_asymmetry_rms,eligible_seed_count,-0.21460315313995987,300,screening association; no causal or probability claim
repulsion_strength,probe_fraction,0.021309623739831186,300,screening association; no causal or probability claim
repulsion_strength,mean_p,0.00418818331763498,300,screening association; no causal or probability claim
repulsion_strength,mean_m,-0.023828768805225647,300,screening association; no causal or probability claim
repulsion_strength,eligible_seed_count,0.03986763180597986,300,screening association; no causal or probability claim
short_range,probe_fraction,0.11462226454901714,300,screening association; no causal or probability claim
short_range,mean_p,-0.07367611042415216,300,screening association; no causal or probability claim
short_range,mean_m,-0.10105806597600284,300,screening association; no causal or probability claim
short_range,eligible_seed_count,-0.0021969536297696463,300,screening association; no causal or probability claim
interaction_range,probe_fraction,-0.06508712549205647,300,screening association; no causal or probability claim
interaction_range,mean_p,-0.10080920832677916,300,screening association; no causal or probability claim
interaction_range,mean_m,-0.00785124408363486,300,screening association; no causal or probability claim
interaction_range,eligible_seed_count,-0.014589111972044608,300,screening association; no causal or probability claim
damping,probe_fraction,-0.11806387651781512,300,screening association; no causal or probability claim
damping,mean_p,0.2668197019022423,300,screening association; no causal or probability claim
damping,mean_m,0.20604729663832136,300,screening association; no causal or probability claim
damping,eligible_seed_count,0.06436214273014743,300,screening association; no causal or probability claim
