snapshot_cadence,lag_snapshots,tau,rows,probe_rows,probe_fraction,mean_p,mean_m,p_min,p_max,m_min,m_max
10,1,0.2,202748,1702,0.008394657407224733,0.8685817168359591,0.8680150515772053,0.023430813521128517,0.999994945594525,0.0,1.0
10,3,0.6,159285,2932,0.018407257431647676,0.8395798200685152,0.8138952181420885,0.026545582857914297,0.9999900242654794,0.0,1.0
10,6,1.2,125971,2050,0.016273586777909202,0.8329968861665845,0.8155282644323684,0.1332560982744098,0.99998221782037,0.0,1.0
30,1,0.6,56000,985,0.017589285714285714,0.8367082662697162,0.7986931293993081,0.014542551540068933,0.9999897431567939,0.0,1.0
30,3,1.8,36769,702,0.019092170034539967,0.8341253829014412,0.8113867450864461,0.14264224235129144,0.9999677268302809,0.0,1.0
30,6,3.6,25030,661,0.02640831002796644,0.8214921561909582,0.8004561829282737,0.21059664172269793,0.9998647545045489,0.0,1.0
60,1,1.2,24162,560,0.02317688933035345,0.8218202700563013,0.744608022446952,0.02055116084272978,0.9999808634125873,0.0,1.0
60,3,3.6,12864,392,0.030472636815920398,0.8213236896556063,0.7799965644209174,0.13333757659915446,0.9998309374523663,0.0,1.0
60,6,7.2,5911,318,0.053798003721874474,0.7797167498571396,0.7219804297058156,0.2500102846823821,0.9964897083757248,0.0,1.0
