snapshot_cadence,lag_snapshots,tau,interval_has_ambiguity,interval_has_split_or_merge,rows,probe_rows,probe_fraction,mean_p,mean_m,p_min,p_max,m_min,m_max
10,1,0.2,False,False,194725,1256,0.006450121966876364,0.874460074623517,0.8816300194225284,0.023430813521128517,0.999994945594525,0.0,1.0
10,1,0.2,False,True,7092,379,0.05344049633389735,0.7146428256128871,0.5165694730548266,0.28159742708589125,0.993011406996239,0.0,1.0
10,1,0.2,True,False,931,67,0.0719656283566058,0.8117303702966389,0.6975289390126354,0.42401975093730887,0.996946769279781,0.0,1.0
10,3,0.6,False,False,145589,2078,0.014273056343542439,0.8515403684752706,0.8453927669460777,0.026545582857914297,0.9999900242654794,0.0,1.0
10,3,0.6,False,True,12362,779,0.06301569325351884,0.7083847704564342,0.46679750743880993,0.15762873373423736,0.9929547124369871,0.0,1.0
10,3,0.6,True,False,986,57,0.057809330628803245,0.758771224440081,0.6228292032566746,0.3478180929404219,0.993939415647465,0.0,1.0
10,3,0.6,True,True,348,18,0.05172413793103448,0.7251723390436352,0.5079077398868961,0.37783850228474464,0.9798850505573361,0.0,1.0
10,6,1.2,False,False,110721,1197,0.010810957270978406,0.8501548854325305,0.8631768444216278,0.1332560982744098,0.99998221782037,0.0,1.0
10,6,1.2,False,True,13711,780,0.05688862956750055,0.7058601760379637,0.4575331711071925,0.13932206988566836,0.9937784438927684,0.0,1.0
10,6,1.2,True,False,855,43,0.050292397660818715,0.7564694932170817,0.6755725110196736,0.3374957607370389,0.9897416338309409,0.0,1.0
10,6,1.2,True,True,684,30,0.043859649122807015,0.6997388698214242,0.4535903532591779,0.225091082389479,0.9695425041085147,0.0,1.0
30,1,0.6,False,False,53546,815,0.015220558024875808,0.8413018676595835,0.8115468335267646,0.014542551540068933,0.9999897431567939,0.0,1.0
30,1,0.6,False,True,1956,134,0.06850715746421268,0.7257170487381022,0.4868285082660961,0.03137984610341726,0.9827088739253725,0.0,1.0
30,1,0.6,True,False,498,36,0.07228915662650602,0.7787360603859499,0.6415500726275479,0.3817935960558244,0.9923401552539957,0.0,1.0
30,3,1.8,False,False,33485,484,0.014454233238763626,0.8431246402618073,0.8402942272500649,0.14264224235129144,0.9999677268302809,0.0,1.0
30,3,1.8,False,True,2648,190,0.07175226586102719,0.7393664606936943,0.49054268883016433,0.23623663018603486,0.9682289954234731,0.0,1.0
30,3,1.8,True,False,536,19,0.03544776119402985,0.7567560662372305,0.6373330899145002,0.30413619735969755,0.984275780040624,0.0,1.0
30,3,1.8,True,True,100,9,0.09,0.7446398531643591,0.560594543987177,0.3633082054855216,0.9238944577593078,0.0,1.0
30,6,3.6,False,False,21643,367,0.016956983782285266,0.831963928444522,0.8443842030367014,0.21059664172269793,0.9998647545045489,0.0,1.0
30,6,3.6,False,True,2755,261,0.09473684210526316,0.753222616676225,0.49792193749068914,0.2506543130498352,0.9758349276997916,0.0,1.0
30,6,3.6,True,False,441,21,0.047619047619047616,0.7678735851507249,0.6563098345163904,0.31336646298941717,0.9957810602628863,0.0,1.0
30,6,3.6,True,True,191,12,0.06282722513089005,0.7434178331961739,0.5193894113234615,0.4426268391470098,0.9781302350916459,0.0,1.0
60,1,1.2,False,False,23074,498,0.02158273381294964,0.8254066021944818,0.7567460536499134,0.02055116084272978,0.9999808634125873,0.0,1.0
60,1,1.2,False,True,878,55,0.06264236902050115,0.7338356203599463,0.4510095551465546,0.24022279032164093,0.987713342569067,0.0,1.0
60,1,1.2,True,False,210,7,0.03333333333333333,0.7956273875661788,0.6384486048883455,0.5300240184371527,0.9854732916544514,0.0,1.0
60,3,3.6,False,False,11719,292,0.02491680177489547,0.8269562236376333,0.8058652228347011,0.13333757659915446,0.9998309374523663,0.0,1.0
60,3,3.6,False,True,927,88,0.09492988133764833,0.7593936722899227,0.4821621414878327,0.25652881229332347,0.9671756036295723,0.0,1.0
60,3,3.6,True,False,187,8,0.0427807486631016,0.7855472171436517,0.6818547403115828,0.3677804660728386,0.9947524046985964,0.0,1.0
60,3,3.6,True,True,31,4,0.12903225806451613,0.759764358119452,0.49903602301135513,0.5373280713820058,0.9642906196411177,0.0,1.0
60,6,7.2,False,False,5063,199,0.03930476002370136,0.784494528323998,0.7625301873810237,0.2500102846823821,0.9964897083757248,0.0,1.0
60,6,7.2,False,True,687,99,0.14410480349344978,0.7478774419840601,0.4547392146398346,0.3134719479808546,0.969686146744336,0.0,1.0
60,6,7.2,True,False,127,13,0.10236220472440945,0.7697781905198484,0.6309969913186279,0.42122942945548025,0.9780746666101707,0.0,1.0
60,6,7.2,True,True,34,7,0.20588235294117646,0.7487140782965068,0.4233389095858972,0.5982775518585888,0.8765858999186161,0.0,0.9375
